playerid,name,team,age,pa,hr,sb,avg,obp,slg,ops,bb,so,iso,bb_percent,k_percent,xwoba,xba,woba,ev,barrel_batted_rate,hard_hit_percent,wrc_plus
806185,Hayden Birdsong,,23,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
621199,Matt Bowman,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
605154,John Brebbia,,35,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
666974,Yennier Cano,,31,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
620454,José Castillo,,29,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
676917,Cade Cavalli,,26,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
547973,Aroldis Chapman,,37,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
683409,Angel Chivilli,,22,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
664199,Taylor Clarke,,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
661403,Emmanuel Clase,,27,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
674444,Steven Cruz,,26,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
595928,John Curtiss,,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
681168,Luis Curvelo,,24,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
660853,Enyel De Los Santos,,29,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
660787,Yerry De los Santos,,27,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
622554,Seranthony Domínguez,,30,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
661395,Jhoan Duran,,27,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
621242,Edwin Díaz,,31,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
669438,Mason Englert,,25,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
608650,Dietrich Enns,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
668674,Lucas Erceg,,30,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
608032,Carlos Estévez,,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
621053,Tyler Ferguson,,31,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
678606,Jose A. Ferrer,,25,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
670036,Matt Festa,,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
681892,Kody Funderburk,,28,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
